rf_inter,http://icecast.radiofrance.fr/franceinter-midfi.mp3
generations,http://broadcast.infomaniak.net:80/generationfm-high.mp3
yvelines,http://statslive.infomaniak.ch/playlist/yvelinesradio884fm/yvelinesradio884fm-96.aac/playlist
soleil,http://radiosoleil.ice.infomaniak.ch/radiosoleil-128.mp3
rfi_mcd,http://icepe1.infomaniak.ch:80/mc-doualiya.mp3
rfi_monde,http://icepe1.infomaniak.ch:80/rfimonde-96k.mp3
libertaire,http://ecoutez.radio-libertaire.org:8080/radiolib
tsfjazz,http://broadcast.infomaniak.net:80/tsfjazz-high.mp3
nostalgie,http://185.52.127.160/fr/30601/mp3_128.mp3?origine=tune-in-radio
chantefrance,http://stream.chantefrance.com/stream_chante_france.mp3
cherie,http://cdn.nrjaudio.fm/audio1/fr/40162/aac_576.mp3?origine=fluxradios
rf_musique,http://icecast.radiofrance.fr/francemusique-midfi.mp3
rf_mouv,http://icecast.radiofrance.fr/mouv-midfi.mp3
rf_culture,http://icecast.radiofrance.fr/franceculture-midfi.mp3
evasion,http://stream.evasionfm.com/stream.mp3
tropiques,http://www.radioking.com/play/tropiques-fm
mbs,http://stream1.radiombs.fr/mbs
aligre,http://sv3.vestaradio.com:9468/listen.pls
cause-commune,https://icecast.libre-a-toi.org:8444/voixdulat_ssl
rf_culture,http://icecast.radiofrance.fr/franceculture-midfi.mp3
campus_paris,http://www.radiocampusparis.org:8000/stream_rcp
vivre,http://vivrefm.ice.infomaniak.ch/vivrefm-128.mp3
orient,http://stream3.broadcast-associes.com:8405/Radio-Orient
urbanhit,http://onlyrai.ice.infomaniak.ch:80/onlyrai-high.mp3
rcj,https://str0.creacast.com/radio-rcj
